model,auc,precision,recall,f1,accuracy,ece
gemma3_r64_cal,0.9808223975933043,0.9500031920984349,0.9046550406963518,0.9266856302461737,0.9483053697633999,0.00890012966513579
gemma4_12b_paper,0.980106734346821,0.9340007386803757,0.9096339505532438,0.921392219490426,0.9439855081425208,0.025203039577635693
gemma4_12b_paper_cal,0.9798205126545273,0.9533359759254963,0.8932153271715062,0.9222176018177688,0.9455772797955643,0.0077902965040224535
med_llama_paper,0.9780334519563263,0.9268268892951692,0.9079731722063101,0.9170049587328603,0.9406232846163067,0.02428789233963982
med_llama_paper_cal,0.9775772789188212,0.9401076995507154,0.8976330448547287,0.9182907578143997,0.9422824076683561,0.009317831997160301
med_llama_r128,0.979346800960306,0.9460585912577514,0.8913076920687123,0.9176675731527217,0.9422789219174726,0.022336185639492273
med_llama_r128_cal,0.9789260974653178,0.9530920081137678,0.8874343905839679,0.9190524817378506,0.9436331172873725,0.008107685811951827
med_llama_r64,0.978249575078858,0.9438030939618522,0.8955095275847557,0.9189357361346824,0.9429512212074188,0.019225240671481465
med_llama_r64_cal,0.9779722479840872,0.9525017434193728,0.8874557469375203,0.9187205845548908,0.9433249479820169,0.009304754088200768
medgemma_paper,0.9794505882862088,0.9450145302207517,0.8930889403042988,0.9181124648657626,0.9425076786662061,0.02501182574835714
medgemma_paper_cal,0.9790074918193141,0.9448504563661022,0.8915970838021128,0.9173455456116649,0.9419898119247201,0.01034370229408873
medgemma_r128,0.9809585283118365,0.9340530706637568,0.9104096940860311,0.9220221924930143,0.9444123554421772,0.02279287463769105
medgemma_r128_cal,0.9806286394006346,0.9491816595732603,0.8977005750563359,0.9226992875028275,0.9456966444338134,0.009373185291794947
medgemma_r64,0.979121433439121,0.9316287187935097,0.9050627902756478,0.9180305763509559,0.9416556998053238,0.0171676614999339
medgemma_r64_cal,0.9789677184982338,0.9433962201901739,0.8941541286548546,0.9180976792055757,0.9423928356534697,0.009846802077643145
mediphi_4b_paper,0.9768812702063764,0.9259584376400032,0.8936782981469884,0.9092459503076539,0.9355488158857597,0.021914403745483767
mediphi_4b_paper_cal,0.9766546066986701,0.9374126358982184,0.8872003452216412,0.911552731341974,0.9377979364441501,0.008498413617623072
modernbert,0.9821538444695967,0.9417996959239151,0.9135274411007417,0.9272181940676066,0.9482269411753441,0.020946576185278173
modernbert_cal,0.9816839881636772,0.9516668318027595,0.9081801740837573,0.9293879948004731,0.9501586873081898,0.009297439851860186
phi4_14b_paper,0.9789039597798679,0.9394350234459992,0.9025376060808835,0.9204614409838043,0.9436275330404676,0.021955080407940558
phi4_14b_paper_cal,0.9785457904927306,0.9460113282706158,0.8973951902208055,0.9209134654460538,0.9442985484070473,0.0077247153400455985
pubmedbert,0.9788839651891188,0.9461778534944502,0.9070051520814371,0.9261611137192769,0.9477759419173182,0.021016028082449685
pubmedbert_cal,0.9782606563637515,0.9475699143970943,0.9038975235991351,0.9250987655091428,0.9471518476491445,0.008921861143652728
qwen4b_paper,0.9780659424346748,0.9404599337690179,0.8941210817229998,0.9164713567100066,0.9412139666724721,0.025025122966610414
qwen4b_paper_cal,0.9776955245302537,0.9468108670865355,0.8870731107345842,0.91589915663734,0.9411741292867302,0.008579424014613916
qwen4b_r128,0.9799384071829097,0.9355067908664095,0.9090049818100617,0.9217339442562785,0.9443008703034845,0.020521170265857553
qwen4b_r128_cal,0.9795725100311667,0.9497494549391827,0.8982663682337314,0.9231920906869027,0.946069962577131,0.007839922469349465
qwen4b_r64,0.9793655992476082,0.9538098065617874,0.8903273098207933,0.9207243690512488,0.9446416664299777,0.020940418261586734
qwen4b_r64_cal,0.9787732120774016,0.9496696324022146,0.8955912662098898,0.9215164887681873,0.9449227454250165,0.008952407331107201
qwen9b_paper,0.9796691256667771,0.9395512466623656,0.8936835907379367,0.9158549985831874,0.9407384718978559,0.02395475234971171
qwen9b_paper_cal,0.9793064792681211,0.9574131218701221,0.8772392822266667,0.9154929629905929,0.9415583149348468,0.006664399240305133
qwen9b_r128,0.9817336778035042,0.9391173810307049,0.9104741224943146,0.9245180753663076,0.9462932516398105,0.019482588428675365
qwen9b_r128_cal,0.9814743261516272,0.9455861340297969,0.90413221755773,0.9243626857764085,0.946551512681052,0.007838249731816987
qwen9b_r64,0.9801801364941098,0.9450869296312538,0.9003463541491399,0.9218738805844506,0.9450170994169639,0.02061844120711379
qwen9b_r64_cal,0.9795194031186938,0.9454800161656121,0.8996639874392812,0.9219698904209752,0.945043386869106,0.008236547542512861
xgb,0.9792952352502657,0.9582738788007402,0.8937906887960707,0.9248842350981687,0.9475413029278,0.01566989821427766
xgb_cal,0.9789085608739914,0.9614892272715212,0.8886756183819472,0.9234733329982161,0.9468095871187503,0.006666704766840194
