model,auc,precision,recall,f1,accuracy,ece
gemma4_12b_paper_cal,0.8795082338292419,0.7832421648189559,0.7577804843201893,0.7697506086153919,0.8121131929048786,0.0146416929338549
med_llama_paper,0.8719686489693161,0.7639345788515357,0.7509056412424494,0.7561407476979805,0.7990165274349585,0.04702222917327968
med_llama_paper_cal,0.8716051309893531,0.7747016175435293,0.731769558399457,0.7524165212612293,0.7999761368692829,0.012681301475387296
med_llama_r128,0.8737269325271851,0.7695168896579039,0.746570565290403,0.7571884935945417,0.8011675771146759,0.033956149045955966
med_llama_r128_cal,0.8729840885653448,0.761951625991231,0.7595458266365425,0.7606830546219387,0.8015619523719151,0.017053983120639795
med_llama_r64,0.8430967647962284,0.7293966628984112,0.739281588479457,0.7341588888626356,0.7777629519606502,0.02877310387603672
med_llama_r64_cal,0.8425118502769504,0.7314834178466588,0.7375198496620331,0.7338348688742198,0.7774252943562812,0.015257206707900378
medgemma_paper,0.8768056827914095,0.7692142837388657,0.7552189455690811,0.7611087269801671,0.8038066204312868,0.04135776920706086
medgemma_paper_cal,0.8763314468458188,0.7692547867543814,0.7548520852751904,0.7615112752766628,0.8039645522902354,0.013042244140239228
medgemma_r128,0.8921423985104189,0.7845032377290938,0.7846458557593339,0.7832599940897527,0.8200670397125908,0.043792310704932814
medgemma_r128_cal,0.8916511436015611,0.7945591930027961,0.7743671997324721,0.7840694140437563,0.8227960453530441,0.013053725310028774
medgemma_r64,0.8823684511175214,0.7826458584085855,0.7557124155600805,0.7678444043410251,0.8105953414701489,0.04436132080920404
medgemma_r64_cal,0.8818875475628059,0.7726142488134431,0.7771752784754719,0.774790935018288,0.8123678500881268,0.014346903556438306
mediphi_4b_paper,0.8733006648081358,0.7674029154397358,0.752617456927551,0.7589431764807459,0.8016571386965575,0.03847953613941353
mediphi_4b_paper_cal,0.8727604482723285,0.7733434640964273,0.744486292533514,0.758423210299269,0.8030503799312243,0.01540743343089794
modernbert,0.8912897530731747,0.785230793520437,0.7771919760686921,0.7798355570106024,0.8180855305955788,0.03799693821926051
modernbert_cal,0.8907988919765055,0.7903936160052145,0.774070247154482,0.7819835966286448,0.8206730436136634,0.014822245123530189
phi4_14b_paper,0.8802917052560547,0.7811894665466953,0.7471255889443451,0.7635982280834084,0.8079611782521512,0.030009877117973805
phi4_14b_paper_cal,0.8799027771996165,0.7780909970378131,0.7522222401789687,0.7646390132731271,0.8078070326283783,0.01583883263372724
pubmedbert,0.8765149628923782,0.7693509533268065,0.7738764304435544,0.770245387828035,0.8090408477253351,0.04667304888796148
pubmedbert_cal,0.8759270673592265,0.7848634437502398,0.7538347069615546,0.7683087731068452,0.8117930078556832,0.014149803834373448
qwen4b_paper,0.8739459787445163,0.7687560200388737,0.7556554607514461,0.7620164847337498,0.8040432422054234,0.03450164657788857
qwen4b_paper_cal,0.8734254996818013,0.7693912023982299,0.7537128171385218,0.7611397027689741,0.8036312101952218,0.012760829217767628
qwen4b_r128,0.8866813528115298,0.7760346920453065,0.7822358387938889,0.7789354816266183,0.8156104024780632,0.046240991126120956
qwen4b_r128_cal,0.8862604130466932,0.7816672220131692,0.7738711776539917,0.7776789044205423,0.8160935506732552,0.014497695924835787
qwen4b_r64,0.873513558987289,0.7848345183440285,0.7285382837313217,0.7541014635205432,0.8036293203552816,0.05081844746895788
qwen4b_r64_cal,0.8731679796748317,0.7684645618138337,0.7704919237447192,0.7690472551608782,0.8073624441044748,0.012938235052991215
qwen9b_paper,0.8735948801649022,0.771212661366831,0.742563879806497,0.7550216961239211,0.8006022357272606,0.04855870379089118
qwen9b_paper_cal,0.8729275525452064,0.7746954539829216,0.740735115875015,0.7570700323299027,0.8026434358445655,0.014911406872046168
qwen9b_r128,0.8816048331191395,0.7717321720942969,0.7672874145409937,0.7681231677097736,0.8079811096481204,0.03893762570987456
qwen9b_r128_cal,0.881101624170876,0.7765669339250738,0.7594523789338058,0.7673581925581086,0.8090089481471292,0.013794724660120328
qwen9b_r64,0.8791952220205947,0.7773047015883356,0.7505371149954729,0.762640486390654,0.8064281933795077,0.03637758716115129
qwen9b_r64_cal,0.8786237688930079,0.7695663897713447,0.7705714356073986,0.7698814445444511,0.8086065355506973,0.014112118546618882
xgb,0.8965435456010311,0.8019034512832229,0.7817401131131396,0.7916791981189271,0.8291425935003105,0.0209358937592033
xgb_cal,0.8958658136354375,0.7995082191094802,0.7843798936240132,0.7916479682518855,0.8285427895027576,0.013726750360463119
