model,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,ece_mean,ece_std
mediphi_4b_paper,0.8733006648081358,0.004659297340739182,0.7674029154397358,0.026484905228454914,0.752617456927551,0.035419042629918095,0.7589431764807459,0.007091894625760986,0.8016571386965575,0.004023542257983825,0.03847953613941353,0.015918918715188374
mediphi_4b_paper_cal,0.8727604482723285,0.00462318116956225,0.7733434640964273,0.015296772007334154,0.744486292533514,0.015784134070316022,0.758423210299269,0.0059801972296165086,0.8030503799312243,0.005577125233405338,0.01540743343089794,0.002593233036642902
modernbert,0.8912897530731747,0.004388374507793459,0.785230793520437,0.028472599739413147,0.7771919760686921,0.04550579470947846,0.7798355570106024,0.013709734983795033,0.8180855305955788,0.00887983669976622,0.03799693821926051,0.01159119856886859
modernbert_cal,0.8907988919765055,0.004323260458228205,0.7903936160052145,0.0158850728220343,0.774070247154482,0.011205445145619074,0.7819835966286448,0.005111040961272899,0.8206730436136634,0.007518872863449988,0.014822245123530189,0.004601198635601239
phi4_14b_paper,0.8802917052560547,0.007435382668447001,0.7811894665466953,0.014626408522539444,0.7471255889443451,0.019790263237520762,0.7635982280834084,0.011919282114983824,0.8079611782521512,0.008521305568305975,0.030009877117973805,0.00899582164217782
phi4_14b_paper_cal,0.8799027771996165,0.007513762000604012,0.7780909970378131,0.016210196192995276,0.7522222401789687,0.024479284746560626,0.7646390132731271,0.012671459727391783,0.8078070326283783,0.008837013405442564,0.01583883263372724,0.001603751476254152
pubmedbert,0.8765149628923782,0.01809728243778667,0.7693509533268065,0.027777462070344212,0.7738764304435544,0.059672615833971786,0.770245387828035,0.02877975373926481,0.8090408477253351,0.01858689846357127,0.04667304888796148,0.008233586803033432
pubmedbert_cal,0.8759270673592265,0.0184323514343273,0.7848634437502398,0.02095256942681432,0.7538347069615546,0.05087916454144877,0.7683087731068452,0.02940055233004256,0.8117930078556832,0.019580130982896272,0.014149803834373448,0.0033453821758551157
qwen4b_paper,0.8739459787445163,0.0029067359741273557,0.7687560200388737,0.009368243073376099,0.7556554607514461,0.016144767566280162,0.7620164847337498,0.007169455721230623,0.8040432422054234,0.004400787224363052,0.03450164657788857,0.008074836219731924
qwen4b_paper_cal,0.8734254996818013,0.002638532382396486,0.7693912023982299,0.015482332233734764,0.7537128171385218,0.021846364157522304,0.7611397027689741,0.007260545209083836,0.8036312101952218,0.004480652561976903,0.012760829217767628,0.005116724473999414
qwen4b_r128,0.8866813528115298,0.010476839747591653,0.7760346920453065,0.013756448448825271,0.7822358387938889,0.023529838266884467,0.7789354816266183,0.013512146208895988,0.8156104024780632,0.012096229060417619,0.046240991126120956,0.006144344118724858
qwen4b_r128_cal,0.8862604130466932,0.01049383797616253,0.7816672220131692,0.016986886821090764,0.7738711776539917,0.009909739902817793,0.7776789044205423,0.011038665008443313,0.8160935506732552,0.012388403691127262,0.014497695924835787,0.002875478389797087
qwen4b_r64,0.873513558987289,0.02301502858036474,0.7848345183440285,0.032805785913578994,0.7285382837313217,0.06616647087027933,0.7541014635205432,0.03736129209428801,0.8036293203552816,0.025399313956288437,0.05081844746895788,0.007074145110285705
qwen4b_r64_cal,0.8731679796748317,0.02311750063827559,0.7684645618138337,0.036108636098592425,0.7704919237447192,0.014382476050099454,0.7690472551608782,0.01946564512860621,0.8073624441044748,0.022182998666674465,0.012938235052991215,0.0032021985258609467
qwen9b_paper,0.8735948801649022,0.008233802654677103,0.771212661366831,0.025110066902379265,0.742563879806497,0.05651539923816032,0.7550216961239211,0.021894621844641863,0.8006022357272606,0.01224010682486234,0.04855870379089118,0.012156499668805694
qwen9b_paper_cal,0.8729275525452064,0.008492379059485201,0.7746954539829216,0.01563524356727203,0.740735115875015,0.022872360838311744,0.7570700323299027,0.012261293526491072,0.8026434358445655,0.009646131837059445,0.014911406872046168,0.001941241239618242
qwen9b_r128,0.8816048331191395,0.006358343716873816,0.7717321720942969,0.028094392796800656,0.7672874145409937,0.046260418872168974,0.7681231677097736,0.013768266565986545,0.8079811096481204,0.00891083405351936,0.03893762570987456,0.016081742089785578
qwen9b_r128_cal,0.881101624170876,0.00655443000262146,0.7765669339250738,0.014030510734090592,0.7594523789338058,0.03373370041467717,0.7673581925581086,0.012941310237709237,0.8090089481471292,0.007479282852923615,0.013794724660120328,0.0027682135341578363
qwen9b_r64,0.8791952220205947,0.006841860906214539,0.7773047015883356,0.018696612656438957,0.7505371149954729,0.0441645376376079,0.762640486390654,0.014925483531402241,0.8064281933795077,0.006774324500594337,0.03637758716115129,0.007699021073865395
qwen9b_r64_cal,0.8786237688930079,0.006945044766546068,0.7695663897713447,0.015759935776282933,0.7705714356073986,0.012905294294765519,0.7698814445444511,0.005163889800167578,0.8086065355506973,0.008317964838907815,0.014112118546618882,0.0034118521037286714
xgb,0.8965435456010311,0.003907753613071066,0.8019034512832229,0.00628059775084509,0.7817401131131396,0.005348825261998969,0.7916791981189271,0.00445050184704842,0.8291425935003105,0.0037055023154337246,0.0209358937592033,0.0054997854266189234
xgb_cal,0.8958658136354375,0.003711297916197324,0.7995082191094802,0.014549224670762856,0.7843798936240132,0.0167765629475348,0.7916479682518855,0.005244818186871346,0.8285427895027576,0.005194662967038461,0.013726750360463119,0.002673842592449364
