model,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,ece_mean,ece_std
gemma3_r128_cal,0.9823034452792081,0.0013739926598345942,0.9514871880188369,0.007327096764512696,0.9027893153133265,0.005701276144491135,0.926481564767068,0.004746431298839836,0.9482185471102946,0.0035667718320432753,0.00823083323508976,0.0024998866134228995
gemma3_r64,0.9812855487618639,0.0013850242269725268,0.9446599914442023,0.005924441731968713,0.9095762392609043,0.009096365323852286,0.9267599356011742,0.005432021251272358,0.9480586619348319,0.003836083981618707,0.021827513417117028,0.007215679076172238
gemma3_r64_cal,0.9808223975933043,0.0013511637810934192,0.9500031920984349,0.009651872813471076,0.9046550406963518,0.013008654414600878,0.9266856302461737,0.00560162621186579,0.9483053697633999,0.0035966191650607005,0.00890012966513579,0.0026672633130199875
gemma4_12b_paper,0.980106734346821,0.0030976659813420388,0.9340007386803757,0.02176712506515564,0.9096339505532438,0.018551181891112045,0.921392219490426,0.010457412526340538,0.9439855081425208,0.006945023049642376,0.025203039577635693,0.003964383950360934
gemma4_12b_paper_cal,0.9798205126545273,0.003133977271443207,0.9533359759254963,0.016366878037660106,0.8932153271715062,0.005063433218220756,0.9222176018177688,0.006620762038454951,0.9455772797955643,0.0043717876873443275,0.0077902965040224535,0.0017008063584680597
med_llama_paper,0.9780334519563263,0.0031106294673795398,0.9268268892951692,0.023243494379229863,0.9079731722063101,0.017331888350690713,0.9170049587328603,0.008653144457675635,0.9406232846163067,0.006136707528528452,0.02428789233963982,0.006000785704566426
med_llama_paper_cal,0.9775772789188212,0.0031571802700744445,0.9401076995507154,0.017394617128168588,0.8976330448547287,0.007980927091075452,0.9182907578143997,0.008682796422454057,0.9422824076683561,0.006151850391849868,0.009317831997160301,0.0023651088361709167
med_llama_r128,0.979346800960306,0.003569009821512052,0.9460585912577514,0.02011184445848232,0.8913076920687123,0.017015213994525245,0.9176675731527217,0.01091897184501721,0.9422789219174726,0.007159588588607114,0.022336185639492273,0.006695942529340958
med_llama_r128_cal,0.9789260974653178,0.0035737230551121765,0.9530920081137678,0.004792917074685242,0.8874343905839679,0.01648529598094498,0.9190524817378506,0.01075381852100222,0.9436331172873725,0.006426664975540677,0.008107685811951827,0.0009861096204606453
med_llama_r64,0.978249575078858,0.004685077072855739,0.9438030939618522,0.013426828527046589,0.8955095275847557,0.012422314999577166,0.9189357361346824,0.008235992473847964,0.9429512212074188,0.005358931839892299,0.019225240671481465,0.006475194993510707
med_llama_r64_cal,0.9779722479840872,0.004656382588251154,0.9525017434193728,0.010851629079025555,0.8874557469375203,0.015558948127665295,0.9187205845548908,0.007937226093320789,0.9433249479820169,0.00480823388710632,0.009304754088200768,0.0031144306699710834
medgemma_paper,0.9794505882862088,0.003923930340540568,0.9450145302207517,0.017326164067811102,0.8930889403042988,0.01758122346271853,0.9181124648657626,0.008410370348991118,0.9425076786662061,0.005218385484845862,0.02501182574835714,0.0049911579406809745
medgemma_paper_cal,0.9790074918193141,0.0038694131562850187,0.9448504563661022,0.016175240457080575,0.8915970838021128,0.011037102656953693,0.9173455456116649,0.008141208359658376,0.9419898119247201,0.005247979535902035,0.01034370229408873,0.0029108405548671154
medgemma_r128,0.9809585283118365,0.0033984801659471793,0.9340530706637568,0.005795819449000665,0.9104096940860311,0.013056387205394173,0.9220221924930143,0.0062266825420600035,0.9444123554421772,0.003528231518741711,0.02279287463769105,0.007647605690908067
medgemma_r128_cal,0.9806286394006346,0.0031678591454918654,0.9491816595732603,0.004954507850608281,0.8977005750563359,0.00989735334916783,0.9226992875028275,0.006069759982934209,0.9456966444338134,0.0034728196237893863,0.009373185291794947,0.0027799303331794384
medgemma_r64,0.979121433439121,0.0030407907918688394,0.9316287187935097,0.01268579730405355,0.9050627902756478,0.016539494140254293,0.9180305763509559,0.0090091169348755,0.9416556998053238,0.005806825456741504,0.0171676614999339,0.005250681115201168
medgemma_r64_cal,0.9789677184982338,0.003016949832445295,0.9433962201901739,0.009428181896906536,0.8941541286548546,0.009392235195476484,0.9180976792055757,0.008277521531999826,0.9423928356534697,0.005370221908689267,0.009846802077643145,0.0021123963999504078
mediphi_4b_paper,0.9768812702063764,0.0016271111329834954,0.9259584376400032,0.017111834985616997,0.8936782981469884,0.01902572891754356,0.9092459503076539,0.0023644266743374867,0.9355488158857597,0.0018184293886609056,0.021914403745483767,0.004759581992372309
mediphi_4b_paper_cal,0.9766546066986701,0.0015737590487178623,0.9374126358982184,0.009499736444608073,0.8872003452216412,0.0085468522402048,0.911552731341974,0.0030351072532543866,0.9377979364441501,0.0019846912640111582,0.008498413617623072,0.0027077631653096832
modernbert,0.9821538444695967,0.0036047051152685626,0.9417996959239151,0.01857060344534659,0.9135274411007417,0.016793064699465666,0.9272181940676066,0.00694538942839425,0.9482269411753441,0.004465285421898183,0.020946576185278173,0.003173497388574219
modernbert_cal,0.9816839881636772,0.0035699718114661854,0.9516668318027595,0.008769077255139944,0.9081801740837573,0.005636838960647128,0.9293879948004731,0.004639717622282605,0.9501586873081898,0.0028892078566897473,0.009297439851860186,0.0019531470625718888
phi4_14b_paper,0.9789039597798679,0.0007709760699727442,0.9394350234459992,0.014245658013688864,0.9025376060808835,0.013235956359382923,0.9204614409838043,0.0032366594667439887,0.9436275330404676,0.00280138453190619,0.021955080407940558,0.00624092069637294
phi4_14b_paper_cal,0.9785457904927306,0.0008389123202621393,0.9460113282706158,0.01257723672906937,0.8973951902208055,0.014083756181948402,0.9209134654460538,0.003162853570865412,0.9442985484070473,0.0026569483566271047,0.0077247153400455985,0.0022672354127123797
pubmedbert,0.9788839651891188,0.0036493601210864247,0.9461778534944502,0.010434923460234799,0.9070051520814371,0.0051021639729824115,0.9261611137192769,0.006808858471650381,0.9477759419173182,0.004374332777117178,0.021016028082449685,0.007075238730896106
pubmedbert_cal,0.9782606563637515,0.0037718999745068745,0.9475699143970943,0.013926839083316746,0.9038975235991351,0.013042382917619274,0.9250987655091428,0.00661183092493665,0.9471518476491445,0.004153288853812724,0.008921861143652728,0.0028145975235048205
qwen4b_paper,0.9780659424346748,0.0033332898788410127,0.9404599337690179,0.012983177358624224,0.8941210817229998,0.02162532186864932,0.9164713567100066,0.0076668503775034836,0.9412139666724721,0.004098510513722056,0.025025122966610414,0.004703675505682563
qwen4b_paper_cal,0.9776955245302537,0.003294399727746957,0.9468108670865355,0.012068405229587674,0.8870731107345842,0.00959488618542107,0.91589915663734,0.006060740180512456,0.9411741292867302,0.003617332567629355,0.008579424014613916,0.0019252145673219155
qwen4b_r128,0.9799384071829097,0.004028905186345842,0.9355067908664095,0.018899070948441142,0.9090049818100617,0.022086212078866425,0.9217339442562785,0.006825790990310895,0.9443008703034845,0.003902988678142213,0.020521170265857553,0.008551387475400072
qwen4b_r128_cal,0.9795725100311667,0.004055879566844824,0.9497494549391827,0.005675946115115837,0.8982663682337314,0.01619413892508599,0.9231920906869027,0.006508059216580202,0.946069962577131,0.0034882332229805896,0.007839922469349465,0.0012918079239505633
qwen4b_r64,0.9793655992476082,0.0022869196682021517,0.9538098065617874,0.015053001121697105,0.8903273098207933,0.02011887166763896,0.9207243690512488,0.005927296100099636,0.9446416664299777,0.003597019078158443,0.020940418261586734,0.008178465995704126
qwen4b_r64_cal,0.9787732120774016,0.002302802680345875,0.9496696324022146,0.01873385241734613,0.8955912662098898,0.02112960635874148,0.9215164887681873,0.005750897107034937,0.9449227454250165,0.003429845190917612,0.008952407331107201,0.003216892763150177
qwen9b_paper,0.9796691256667771,0.002401463998134153,0.9395512466623656,0.014853605017184962,0.8936835907379367,0.018141429140817462,0.9158549985831874,0.00801578825782225,0.9407384718978559,0.004838747443767378,0.02395475234971171,0.0021054280339651244
qwen9b_paper_cal,0.9793064792681211,0.002537829673567774,0.9574131218701221,0.00974066431043132,0.8772392822266667,0.01484009446565268,0.9154929629905929,0.008598272675483016,0.9415583149348468,0.005144288480253034,0.006664399240305133,0.0016710582478726545
qwen9b_r128,0.9817336778035042,0.001862420214902216,0.9391173810307049,0.009663145065647742,0.9104741224943146,0.007271956693315003,0.9245180753663076,0.0027290908675962114,0.9462932516398105,0.001572640735747906,0.019482588428675365,0.0038288284812754295
qwen9b_r128_cal,0.9814743261516272,0.0016536790463453756,0.9455861340297969,0.0070094785031048455,0.90413221755773,0.006124976824791802,0.9243626857764085,0.002472666099396956,0.946551512681052,0.0011630782627013794,0.007838249731816987,0.002031746904259744
qwen9b_r64,0.9801801364941098,0.004729338483026026,0.9450869296312538,0.01696865632219167,0.9003463541491399,0.026129885054212237,0.9218738805844506,0.012646311819523751,0.9450170994169639,0.007779856175226611,0.02061844120711379,0.009966508023666477
qwen9b_r64_cal,0.9795194031186938,0.004712621847448436,0.9454800161656121,0.015577105841937212,0.8996639874392812,0.010906502814756162,0.9219698904209752,0.011784044735066751,0.945043386869106,0.007764462448483885,0.008236547542512861,0.002199042879942195
xgb,0.9792952352502657,0.002328728127848342,0.9582738788007402,0.0031975964128981545,0.8937906887960707,0.009275906781424802,0.9248842350981687,0.004801218078185527,0.9475413029278,0.0034329115722594884,0.01566989821427766,0.006881063247794351
xgb_cal,0.9789085608739914,0.002240056941868381,0.9614892272715212,0.009352640125998134,0.8886756183819472,0.019561594940597886,0.9234733329982161,0.007327385285071511,0.9468095871187503,0.004856791183729158,0.006666704766840194,0.0015849485772510778
